Teams_host,,Teams_guest,host,guest
West Ham,vs,Man City,2,2
C. Palace,vs,Spurs,1,3
Leicester,vs,Stoke,3,0
Man Utd,vs,S'hampton,0,1
Sunderland,vs,B'mouth,1,1
Swansea,vs,Watford,1,0
Stoke,vs,Arsenal,0,0
Liverpool,vs,Man Utd,0,1
Chelsea,vs,Everton,3,3
Man City,vs,C. Palace,4,0
S'hampton,vs,WBA,3,0
Spurs,vs,Sunderland,4,1
Liverpool,vs,Arsenal,3,3
Spurs,vs,Leicester,0,1
Swansea,vs,Sunderland,2,4
Chelsea,vs,WBA,2,2
Man City,vs,Everton,0,0
S'hampton,vs,Watford,2,0
B'mouth,vs,West Ham,1,3
Everton,vs,Spurs,1,1
C. Palace,vs,Chelsea,0,3
Watford,vs,Man City,1,2
Leicester,vs,B'mouth,0,0
Man Utd,vs,Swansea,2,1
WBA,vs,Stoke,2,1
West Ham,vs,Liverpool,2,0
Sunderland,vs,Liverpool,0,1
Leicester,vs,Man City,0,0
Arsenal,vs,B'mouth,2,0
Man Utd,vs,Chelsea,0,0
West Ham,vs,S'hampton,2,1
C. Palace,vs,Swansea,0,0
Everton,vs,Stoke,3,4
Watford,vs,Spurs,2,2
S'hampton,vs,Arsenal,4,0
B'mouth,vs,C. Palace,0,0
Chelsea,vs,Watford,2,2
Liverpool,vs,Leicester,1,0
Man City,vs,Sunderland,4,1
Swansea,vs,WBA,1,0
Stoke,vs,Man Utd,2,0
Arsenal,vs,Man City,2,1
Swansea,vs,West Ham,0,0
Watford,vs,Liverpool,3,0
Chelsea,vs,Sunderland,3,1
Everton,vs,Leicester,2,3
S'hampton,vs,Spurs,0,2
Stoke,vs,C. Palace,1,2
WBA,vs,B'mouth,1,2
Leicester,vs,Chelsea,2,1
Liverpool,vs,WBA,2,2
B'mouth,vs,Man Utd,2,1
C. Palace,vs,S'hampton,1,0
Man City,vs,Swansea,2,1
Sunderland,vs,Watford,0,1
West Ham,vs,Stoke,0,0
Everton,vs,C. Palace,1,1
Chelsea,vs,B'mouth,0,1
Arsenal,vs,Sunderland,3,1
Man Utd,vs,West Ham,0,0
Swansea,vs,Leicester,0,3
WBA,vs,Spurs,1,1
Stoke,vs,Man City,2,0
Liverpool,vs,Swansea,1,0
West Ham,vs,WBA,1,1
Spurs,vs,Chelsea,0,0
Leicester,vs,Man Utd,1,1
B'mouth,vs,Everton,3,3
Man City,vs,S'hampton,3,1
Sunderland,vs,Stoke,2,0
C. Palace,vs,Sunderland,0,1
Spurs,vs,West Ham,4,1
Man City,vs,Liverpool,1,4
S'hampton,vs,Stoke,0,1
Swansea,vs,B'mouth,2,2
WBA,vs,Arsenal,2,1
Watford,vs,Man Utd,1,2
Arsenal,vs,Spurs,1,1
Liverpool,vs,C. Palace,1,2
Stoke,vs,Chelsea,1,0
Leicester,vs,Watford,2,1
Man Utd,vs,WBA,2,0
Sunderland,vs,S'hampton,0,1
West Ham,vs,Everton,1,1
S'hampton,vs,B'mouth,2,0
Everton,vs,Sunderland,6,2
C. Palace,vs,Man Utd,0,0
